i,force1
0,-2.3000000000000003
1,-2.3000000000000003
2,-2.3000000000000003
3,-2.4000000000000004
4,-2.5
5,-2.5
6,-2.7
7,-2.8000000000000003
8,-2.8000000000000003
9,-2.8000000000000003
10,-2.8000000000000003
11,-2.8000000000000003
12,-2.9000000000000004
13,-3.0
14,-3.1
15,-3.1
16,-3.1
17,-3.2
18,-3.2
19,-3.3000000000000003
20,-3.4000000000000004
21,-3.6
22,-3.8000000000000003
23,-4.0
24,-4.1000000000000005
25,-4.1000000000000005
26,-4.3
27,-4.6000000000000005
28,-4.800000000000001
29,-4.9
30,-4.9
31,-4.9
32,-4.9
33,-4.9
34,-5.0
35,-5.1000000000000005
36,-5.1000000000000005
37,-5.0
38,-5.0
39,-5.0
40,-5.2
41,-5.2
42,-5.2
43,-5.2
44,-5.300000000000001
45,-5.5
46,-5.7
47,-5.6000000000000005
48,-5.6000000000000005
49,-5.6000000000000005
50,-5.800000000000001
51,-6.2
52,-6.4
53,-6.4
54,-6.4
55,-6.4
56,-6.4
57,-6.6000000000000005
58,-6.800000000000001
59,-7.0
60,-7.1000000000000005
61,-7.2
62,-7.2
63,-7.300000000000001
64,-7.4
65,-7.7
66,-7.7
67,-7.800000000000001
68,-8.0
69,-8.3
70,-8.5
71,-8.4
72,-8.4
73,-8.4
74,-8.700000000000001
75,-8.9
76,-9.0
77,-9.1
78,-9.3
79,-9.600000000000001
80,-9.700000000000001
81,-9.8
82,-9.8
83,-9.8
84,-10.0
85,-10.4
86,-10.600000000000001
87,-10.4
88,-10.0
89,-9.9
90,-10.3
91,-11.0
92,-11.0
93,-10.9
94,-10.8
95,-10.9
96,-11.600000000000001
97,-11.9
98,-11.8
99,-11.700000000000001
100,-11.8
101,-12.3
102,-12.600000000000001
103,-12.600000000000001
104,-12.5
105,-12.5
106,-12.9
107,-13.200000000000001
108,-13.4
109,-13.4
110,-13.3
111,-13.4
112,-14.0
113,-14.4
114,-14.3
115,-14.100000000000001
116,-14.100000000000001
117,-14.3
118,-15.100000000000001
119,-15.3
120,-15.100000000000001
121,-15.100000000000001
122,-15.3
123,-15.600000000000001
124,-15.4
125,-15.5
126,-15.600000000000001
127,-15.9
128,-16.0
129,-15.9
130,-15.9
131,-16.3
132,-16.8
133,-17.3
134,-17.2
135,-17.0
136,-16.900000000000002
137,-17.3
138,-18.0
139,-18.3
140,-18.2
141,-18.0
142,-18.0
143,-18.3
144,-18.6
145,-18.5
146,-18.6
147,-19.0
148,-19.400000000000002
149,-19.3
150,-19.200000000000003
151,-19.400000000000002
152,-19.700000000000003
153,-19.700000000000003
154,-19.700000000000003
155,-19.700000000000003
156,-19.8
157,-19.8
158,-19.8
159,-19.6
160,-19.6
161,-19.8
162,-20.1
163,-20.1
164,-20.1
165,-20.200000000000003
166,-20.3
167,-20.5
168,-20.5
169,-20.5
170,-20.5
171,-20.5
172,-20.700000000000003
173,-20.900000000000002
174,-20.900000000000002
175,-21.0
176,-21.1
177,-21.0
178,-21.1
179,-21.200000000000003
180,-21.400000000000002
181,-21.5
182,-21.6
183,-21.5
184,-21.6
185,-22.0
186,-22.1
187,-21.900000000000002
188,-21.8
189,-21.900000000000002
190,-22.0
191,-22.0
192,-21.900000000000002
193,-21.700000000000003
194,-21.700000000000003
195,-21.900000000000002
196,-22.1
197,-22.1
198,-22.0
199,-22.0
200,-22.1
201,-22.5
202,-22.6
203,-22.5
204,-22.3
205,-22.400000000000002
206,-22.8
207,-22.900000000000002
208,-22.900000000000002
209,-22.900000000000002
210,-23.200000000000003
211,-23.400000000000002
212,-23.3
213,-23.200000000000003
214,-23.200000000000003
215,-23.3
216,-23.5
217,-23.700000000000003
218,-23.8
219,-23.8
220,-23.900000000000002
221,-23.8
222,-23.8
223,-23.900000000000002
224,-24.200000000000003
225,-24.3
226,-24.200000000000003
227,-24.0
228,-24.0
229,-24.3
230,-24.400000000000002
231,-24.3
232,-24.0
233,-24.0
234,-24.0
235,-24.3
236,-24.200000000000003
237,-23.900000000000002
238,-23.700000000000003
239,-23.700000000000003
240,-23.900000000000002
241,-24.1
242,-24.1
243,-24.1
244,-24.0
245,-24.0
246,-23.900000000000002
247,-23.6
248,-23.5
249,-23.6
250,-23.700000000000003
251,-23.5
252,-23.1
253,-22.8
254,-22.8
255,-23.1
256,-23.1
257,-22.8
258,-22.3
259,-22.1
260,-22.1
261,-22.3
262,-22.3
263,-22.3
264,-22.1
265,-21.900000000000002
266,-22.0
267,-22.0
268,-21.900000000000002
269,-21.400000000000002
270,-21.3
271,-21.400000000000002
272,-21.700000000000003
273,-21.8
274,-21.6
275,-21.3
276,-21.5
277,-21.900000000000002
278,-21.900000000000002
279,-21.8
280,-21.6
281,-21.3
282,-21.400000000000002
283,-21.5
284,-21.5
285,-21.400000000000002
286,-21.200000000000003
287,-21.200000000000003
288,-21.3
289,-21.3
290,-21.200000000000003
291,-21.0
292,-21.1
293,-21.1
294,-21.0
295,-20.700000000000003
296,-20.5
297,-20.5
298,-20.400000000000002
299,-20.400000000000002
300,-20.0
301,-19.1
302,-18.7
303,-18.400000000000002
304,-18.2
305,-17.8
306,-17.2
307,-16.3
308,-16.1
309,-15.600000000000001
310,-15.0
311,-14.3
312,-13.700000000000001
313,-13.200000000000001
314,-13.0
315,-12.3
316,-11.9
317,-11.5
318,-11.200000000000001
319,-11.100000000000001
320,-11.100000000000001
321,-11.3
322,-11.3
323,-11.200000000000001
324,-11.100000000000001
325,-11.4
326,-11.700000000000001
327,-11.700000000000001
328,-11.700000000000001
329,-11.8
330,-12.0
331,-12.0
332,-12.0
333,-11.9
334,-11.700000000000001
335,-11.8
336,-12.0
337,-12.0
338,-11.8
339,-11.700000000000001
340,-11.700000000000001
341,-11.700000000000001
342,-11.9
343,-12.0
344,-12.3
345,-12.5
346,-12.5
347,-12.5
348,-12.5
349,-12.700000000000001
350,-12.8
351,-13.0
352,-13.100000000000001
353,-13.3
354,-13.5
355,-13.700000000000001
356,-13.8
357,-13.8
358,-13.8
359,-13.9
360,-14.0
361,-14.200000000000001
362,-14.3
363,-14.4
364,-14.4
365,-14.600000000000001
366,-14.600000000000001
367,-14.700000000000001
368,-14.9
369,-15.0
370,-15.100000000000001
371,-15.100000000000001
372,-15.200000000000001
373,-15.3
374,-15.3
375,-15.4
376,-15.4
377,-15.5
378,-15.600000000000001
379,-15.8
380,-15.9
381,-15.9
382,-15.8
383,-15.8
384,-16.0
385,-16.2
386,-16.2
387,-16.3
388,-16.5
389,-16.5
390,-16.5
391,-16.5
392,-16.5
393,-16.5
394,-16.5
395,-16.5
396,-16.6
397,-16.7
398,-16.7
399,-16.8
400,-16.8
401,-17.0
402,-17.0
403,-16.900000000000002
404,-16.7
405,-16.7
406,-16.900000000000002
407,-16.900000000000002
408,-16.8
409,-16.8
410,-16.8
411,-16.900000000000002
412,-16.900000000000002
413,-17.0
414,-17.2
415,-17.3
416,-17.2
417,-17.1
418,-17.1
419,-17.2
420,-17.400000000000002
421,-17.6
422,-17.6
423,-17.6
424,-17.400000000000002
425,-17.5
426,-17.7
427,-17.8
428,-17.8
429,-17.6
430,-17.5
431,-17.400000000000002
432,-17.400000000000002
433,-17.400000000000002
434,-17.7
435,-17.8
436,-17.7
437,-17.6
438,-17.6
439,-17.7
440,-17.900000000000002
441,-17.900000000000002
442,-17.8
443,-17.8
444,-17.8
445,-17.8
446,-17.8
447,-17.8
448,-18.0
449,-18.0
450,-18.0
451,-17.8
452,-17.7
453,-17.8
454,-17.8
455,-17.900000000000002
456,-17.900000000000002
457,-17.900000000000002
458,-17.900000000000002
459,-17.8
460,-17.8
461,-17.7
462,-17.6
463,-17.5
464,-17.400000000000002
465,-17.5
466,-17.6
467,-17.7
468,-17.7
469,-17.8
470,-17.900000000000002
471,-17.900000000000002
472,-17.900000000000002
473,-17.8
474,-17.6
475,-17.6
476,-17.5
477,-17.3
478,-17.1
479,-17.0
480,-16.900000000000002
481,-16.7
482,-16.2
483,-15.9
484,-15.3
485,-14.700000000000001
486,-14.100000000000001
487,-13.700000000000001
488,-13.5
489,-13.200000000000001
490,-12.3
491,-11.100000000000001
492,-9.5
493,-8.200000000000001
494,-7.300000000000001
495,-6.9
496,-6.5
497,-5.4
498,-3.8000000000000003
499,-1.2000000000000002
500,-0.5
501,0.0
502,0.2
503,0.4
504,0.5
505,0.5
506,0.5
507,0.5
508,0.6000000000000001
509,0.8
510,1.0
511,1.2000000000000002
512,1.2000000000000002
513,1.2000000000000002
514,1.3
515,1.3
516,1.3
517,1.3
518,1.2000000000000002
519,1.2000000000000002
520,1.1
521,1.1
522,1.1
523,1.2000000000000002
524,1.2000000000000002
525,1.2000000000000002
526,1.2000000000000002
527,1.2000000000000002
528,1.2000000000000002
529,1.2000000000000002
530,1.1
531,1.1
532,1.0
533,0.9
534,0.8
535,0.8
536,0.8
537,0.9
538,0.9
539,1.0
540,1.2000000000000002
541,1.2000000000000002
542,1.2000000000000002
543,1.2000000000000002
544,1.2000000000000002
545,1.2000000000000002
546,1.2000000000000002
547,1.1
548,1.1
549,1.1
550,1.0
551,0.9
552,0.8
553,0.6000000000000001
554,0.4
555,0.30000000000000004
556,0.30000000000000004
557,0.4
558,0.7000000000000001
559,0.8
560,0.8
561,0.8
562,0.8
563,0.8
564,0.6000000000000001
565,0.30000000000000004
566,0.0
567,-0.1
568,0.0
569,0.30000000000000004
570,0.30000000000000004
571,0.2
572,0.2
573,0.2
574,0.4
575,0.4
576,0.4
577,0.4
578,0.30000000000000004
579,0.30000000000000004
580,0.30000000000000004
581,0.5
582,0.7000000000000001
583,0.8
584,0.8
585,0.8
586,0.8
587,0.8
588,0.7000000000000001
589,0.5
590,0.6000000000000001
591,0.7000000000000001
592,0.8
